epoch,loss,ev_low_k1,ev_high_k10
96,0.22161442041397095,0.9178600363933326,0.15983780603378306
97,0.22099436819553375,0.9183829587325671,0.15940552572969136
98,0.22037120163440704,0.9186995824581563,0.15880130799424452
99,0.21974608302116394,0.91945481952338,0.15849176031803314
100,0.21911843121051788,0.9205204367570515,0.15840173736556906
101,0.21848879754543304,0.9212804163918579,0.1580785437950032
102,0.2178564816713333,0.9218158545811326,0.15758004113360613
103,0.21722224354743958,0.9226801142855829,0.1573171986681574
104,0.21658587455749512,0.9237651937862008,0.1571988393035555
105,0.2159477174282074,0.9246171056297714,0.15688718659450407
106,0.21530786156654358,0.9253204822892082,0.15646096760387995
107,0.2146667093038559,0.9262302316353657,0.15619096549942157
108,0.21402351558208466,0.9272275341143028,0.1559875939353781
109,0.21337918937206268,0.9280003969673574,0.15560996549697648
